player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Dylan Raiola,183581,QB,NEBRASKA,1,-4.76,0,43,238,69.0,29,29,9.9,2.96,0,1,3.4,69.0,20,7,0.0,34,79.1,0,8,,,,,68.5,56.2,76.1,,59.7,,49.1,,,0,2,34,28.6,65.7,5.9,2,3,0,0,1,1,2.9,163,5.6,71.4,35,35,7.4,2.78,0,1,2.9,71.4,25,7,0.0,39,90.7,0,9,,,,,68.9,57.7,76.4,,59.7,,51.6,,,0,2,39,28.6,68.9,5.1,2,2,0,0,1,1,2.6,181,5.2,100.0,2,3,-2.0,2.03,1,0,0.0,66.7,2,0,0.0,4,9.3,0,1,,,,,63.3,54.7,67.4,,60.2,,57.3,,,0,0,4,,71.5,0.0,0,1,0,0,0,0,0.0,10,3.3,0,87.5,8,9,-3.9,1.78,1,0,0.0,77.8,7,0,0.0,9,20.9,0,2,,,,,65.1,60.3,69.8,,60.0,,,,,0,0,9,,79.6,0.0,0,0,0,0,0,0,0.0,28,3.1,-1.84
Ethan Vasko,163817,QB,COAST CAR,1,4.02,0,43,141,57.6,33,35,14.0,2.68,0,2,5.7,48.6,17,17,10.5,39,90.7,2,12,,,,,71.4,77.7,77.2,,74.4,54.3,71.0,,,0,1,39,17.6,69.5,7.7,3,1,0,2,1,3,7.7,246,7.0,61.3,31,32,13.1,2.5,0,2,6.3,53.1,17,12,10.5,35,81.4,2,10,,,,,71.3,74.8,76.9,,70.9,54.3,71.0,,,0,1,35,16.7,72.0,5.7,2,1,0,1,1,3,8.6,217,6.8,66.7,6,7,7.5,2.85,0,0,0.0,57.1,4,6,0.0,8,18.6,0,3,,,,,64.6,77.2,69.5,,76.7,,,,,0,0,8,16.7,79.5,12.5,1,0,0,1,0,0,0.0,50,7.1,0,100.0,4,4,-3.0,1.5,0,0,0.0,100.0,4,1,0.0,4,9.3,0,1,,,,,63.3,65.0,67.4,,64.7,,,,,0,0,4,0.0,88.5,0.0,0,0,0,0,0,0,0.0,21,5.3,0.36
Carson Beck,124010,QB,GEORGIA,1,-5.95,0,42,173,69.0,29,33,14.5,2.55,3,3,8.1,60.6,20,5,0.0,35,83.3,0,15,,,,,70.7,86.6,24.6,,84.4,,72.4,,,0,0,39,0.0,111.6,0.0,0,2,0,1,2,1,2.6,307,9.3,80.0,25,28,11.5,2.35,2,2,6.5,64.3,18,5,10.0,30,71.4,2,12,,,,,70.4,81.7,21.9,,79.1,,72.4,,,0,0,33,0.0,104.0,0.0,0,2,0,1,1,1,3.0,245,8.8,63.6,11,12,10.3,2.3,1,1,7.7,58.3,7,0,0.0,12,28.6,0,5,,,,,66.0,82.1,71.0,,81.4,,,,,0,0,13,,108.3,0.0,0,0,0,0,1,0,0.0,86,7.2,0,100.0,7,7,-2.9,1.26,0,0,0.0,71.4,5,0,28.6,7,16.7,2,2,,,,,64.6,66.7,69.1,,66.4,,,,,0,0,7,,75.9,0.0,0,0,0,0,0,0,0.0,24,3.4,-1.58
Chandler Morris,122938,QB,N TEXAS,1,-18.55,0,41,251,52.0,25,26,15.6,2.95,1,2,6.9,50.0,13,6,0.0,31,75.6,0,9,,,,,69.1,54.9,75.9,,52.8,,61.6,,,0,2,34,16.7,56.7,3.2,1,4,0,0,1,3,8.8,201,7.7,66.7,24,25,10.0,2.49,1,2,7.7,64.0,16,3,0.0,27,65.9,0,7,,,,,68.6,59.2,75.4,,58.1,,60.3,,,0,1,28,0.0,79.3,0.0,0,2,0,0,1,2,7.1,163,6.5,54.5,11,11,11.9,2.71,0,0,0.0,45.5,5,3,16.7,14,34.1,1,3,,,,,66.5,52.0,71.6,,50.0,,61.8,,,0,1,16,33.3,31.6,7.1,1,2,0,0,0,1,6.3,78,7.1,0,90.0,10,10,-1.8,1.39,0,0,0.0,80.0,8,0,11.1,10,24.4,1,1,,,,,65.4,59.9,70.1,,59.6,,,,,0,0,10,,83.3,0.0,0,0,0,0,0,0,0.0,40,4.0,0.57
Katin Houser,158386,QB,E CAROLINA,1,10.59,0,41,156,62.5,32,33,12.3,2.53,0,2,5.6,60.6,20,11,0.0,36,87.8,0,14,,,,,38.1,60.8,77.3,,58.5,,62.5,,,0,3,39,9.1,52.6,2.8,1,2,0,1,0,5,12.8,300,9.1,60.0,20,20,7.4,2.38,0,0,0.0,60.0,12,8,0.0,24,58.5,0,6,,,,,29.7,35.6,76.5,,28.9,,62.5,,,0,2,25,12.5,33.3,4.2,1,2,0,0,0,4,16.0,100,5.0,75.0,16,17,15.1,2.38,0,2,10.0,70.6,12,3,0.0,17,41.5,0,10,,,,,67.1,91.1,72.4,,90.8,,,,,0,1,20,0.0,108.1,0.0,0,0,0,1,1,1,5.0,214,12.6,0,100.0,4,4,-1.3,1.28,0,0,0.0,100.0,4,0,0.0,5,12.2,0,2,,,,,64.2,62.9,68.6,,62.7,,,,,0,0,6,,120.8,0.0,0,0,0,0,1,0,0.0,14,3.5,7.59
Avery Johnson,173108,QB,KANSAS ST,1,-16.67,0,41,199,67.5,40,40,12.0,2.81,0,2,4.8,60.0,24,4,11.1,41,100.0,3,14,,,,,71.3,75.3,76.7,,77.6,,56.1,,,0,2,44,0.0,57.8,0.0,0,1,0,0,0,1,2.3,255,6.4,75.0,24,24,9.4,2.84,0,1,4.0,66.7,16,2,11.1,25,61.0,2,11,,,,,70.6,69.6,75.6,,72.8,,56.1,,,0,1,27,0.0,69.3,0.0,0,1,0,0,0,1,3.7,167,7.0,56.3,16,16,15.8,2.76,0,1,5.6,50.0,8,2,11.1,16,39.0,1,3,,,,,66.8,77.2,72.0,,76.5,,,,,0,1,18,0.0,40.6,0.0,0,0,0,0,0,0,0.0,88,5.5,0,,0,0,,,0,0,0.0,,0,0,,0,0.0,0,0,,,,,60.3,59.8,63.6,,59.8,,,,,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,-1.46
Hunter Watson,183993,QB,SM HOUSTON,1,16.36,0,40,281,70.0,20,22,11.9,3.21,0,2,9.1,63.6,14,11,0.0,30,75.0,0,8,,,,,71.5,70.7,76.8,,72.1,,61.0,,,0,0,30,27.3,85.4,10.0,3,5,0,2,0,1,3.3,160,7.3,70.0,20,22,8.1,2.83,0,2,9.1,63.6,14,9,0.0,28,70.0,0,4,,,,,71.5,64.0,76.7,,59.3,,64.8,,,0,0,28,33.3,71.6,10.7,3,3,0,2,0,1,3.6,87,4.0,88.9,9,10,5.6,2.93,0,0,0.0,80.0,8,4,0.0,12,30.0,0,4,,,,,65.8,77.2,70.7,,85.3,,52.9,,,1,1,12,0.0,65.4,0.0,0,2,0,0,0,0,0.0,92,9.2,0,88.9,9,10,-3.0,1.82,0,0,0.0,80.0,8,2,0.0,10,25.0,0,0,,,,,65.4,61.0,70.1,,60.8,,,,,1,1,10,0.0,39.6,0.0,0,0,0,0,0,0,0.0,19,1.9,5.25
Fernando Mendoza,158323,QB,CAL,1,-12.44,0,40,130,79.3,29,32,9.6,2.97,0,0,0.0,62.5,20,15,13.0,38,95.0,3,14,,,,,33.8,57.1,76.3,,57.1,,57.7,,,0,2,42,26.7,67.7,10.5,4,2,0,3,1,4,9.5,224,7.0,83.3,24,25,8.3,2.85,0,0,0.0,68.0,17,11,15.0,29,72.5,3,12,,,,,28.3,63.8,75.4,,61.4,,64.5,,,0,1,30,27.3,84.8,10.3,3,1,0,1,1,3,10.0,176,7.0,71.4,7,9,11.0,3.06,0,0,0.0,55.6,5,4,0.0,11,27.5,0,2,,,,,66.2,47.4,71.2,,51.5,,52.8,,,0,1,14,25.0,31.5,9.1,1,1,0,2,0,1,7.1,49,5.4,0,100.0,2,2,-2.0,1.65,0,0,0.0,100.0,2,0,0.0,2,5.0,0,0,,,,,61.8,62.8,65.5,,62.6,,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.5,-1.6
Tyler Shough,83537,QB,LOUISVILLE,1,-3.03,0,40,210,78.1,32,36,10.2,2.84,0,1,2.7,63.9,23,9,8.0,36,90.0,2,15,,,,,68.8,70.1,76.5,,69.2,,,,,0,1,37,0.0,82.6,0.0,0,0,1,3,1,1,2.7,256,7.1,82.4,17,18,9.2,2.02,0,1,5.6,66.7,12,5,14.3,18,45.0,2,7,,,,,66.8,82.4,75.1,,81.8,,,,,0,1,18,0.0,84.0,0.0,0,0,1,0,1,0,0.0,134,7.4,78.9,19,22,8.6,3.24,0,0,0.0,63.6,14,4,6.7,22,55.0,1,8,,,,,67.5,55.1,72.8,,55.0,,,,,0,0,23,0.0,80.9,0.0,0,0,0,3,0,1,4.3,136,6.2,0,100.0,4,4,-1.5,1.33,0,0,0.0,75.0,3,0,25.0,4,10.0,1,0,,,,,63.3,65.0,67.4,,64.7,,,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,14,3.5,-1.26
Kadin Semonza,174001,QB,BALL ST,1,17.04,0,40,117,75.9,29,31,11.5,2.4,1,5,16.1,64.5,20,5,9.1,33,82.5,2,14,,,,,69.5,80.3,77.2,,83.1,60.0,57.3,,,0,1,33,20.0,124.1,3.0,1,1,0,1,4,1,3.0,313,10.1,76.0,25,27,11.1,2.09,2,5,18.5,63.0,17,3,10.5,30,75.0,2,11,,,,,69.3,78.7,77.0,,81.3,,57.3,,,0,1,30,33.3,116.9,3.3,1,1,0,0,3,1,3.3,264,9.8,88.9,9,10,5.1,2.98,0,0,0.0,80.0,8,2,0.0,10,25.0,0,4,,,,,65.4,69.5,70.4,,69.8,60.0,,,,0,0,10,0.0,127.9,0.0,0,0,0,1,1,0,0.0,67,6.7,0,100.0,5,6,-2.0,1.89,1,0,0.0,83.3,5,0,0.0,7,17.5,0,1,,,,,64.6,61.4,69.1,,61.2,,,,,0,0,7,,79.2,0.0,0,0,0,0,0,0,0.0,18,3.0,-3.08
C.J. Ogbonna,149182,QB,BUFFALO,1,30.42,0,39,126,54.8,31,33,14.6,2.94,0,2,5.4,45.5,15,14,11.8,35,89.7,2,12,,,,,71.4,74.8,77.4,,69.3,,72.7,,,0,2,39,0.0,75.9,0.0,0,2,0,2,3,1,2.6,245,7.4,50.0,24,26,10.7,2.9,0,0,0.0,42.3,11,11,8.3,28,71.8,1,8,,,,,71.2,64.3,76.9,,56.0,,72.7,,,0,1,31,0.0,66.8,0.0,0,2,0,2,2,0,0.0,124,4.8,81.8,11,11,16.7,2.61,0,2,15.4,72.7,8,3,11.1,11,28.2,1,5,,,,,66.0,89.2,71.0,,88.3,,,,,0,1,13,0.0,107.2,0.0,0,0,0,0,1,1,7.7,140,12.7,0,100.0,4,4,-2.8,1.73,0,0,0.0,100.0,4,0,0.0,4,10.3,0,1,,,,,63.8,64.2,68.1,,64.0,,,,,0,0,5,,86.5,0.0,0,0,0,0,0,0,0.0,19,4.8,7.96
Sam Leavitt,175465,QB,ARIZONA ST,1,-22.22,0,39,110,71.4,21,25,15.0,3.62,1,1,3.7,52.0,13,11,13.3,30,76.9,2,13,,,,,69.0,86.3,77.0,,85.2,,66.8,,,0,0,33,9.1,103.4,3.3,1,4,0,3,2,0,0.0,188,7.5,81.3,16,18,6.7,2.69,0,0,0.0,72.2,13,6,0.0,19,48.7,0,11,,,,,67.9,79.7,76.3,,79.8,,61.9,,,0,0,21,0.0,142.1,0.0,0,1,0,2,2,0,0.0,185,10.3,76.9,13,16,13.9,3.68,2,1,5.9,50.0,8,5,20.0,20,51.3,2,6,,,,,67.2,81.4,72.5,,78.8,,66.8,,,0,0,21,20.0,87.2,5.0,1,3,0,1,1,0,0.0,87,5.4,0,100.0,8,9,-3.4,1.79,1,0,0.0,88.9,8,0,0.0,9,23.1,0,4,,,,,65.1,65.3,69.8,,65.0,,,,,0,0,9,,142.6,0.0,0,0,0,0,1,0,0.0,84,9.3,-4.84
Payton Thorne,101629,QB,AUBURN,1,-16.67,0,39,115,76.0,25,27,13.0,3.12,1,0,0.0,63.0,17,6,10.5,34,87.2,2,12,,,,,68.5,71.5,75.7,,76.5,,52.4,,,0,0,34,16.7,135.6,2.9,1,6,0,1,5,0,0.0,269,10.0,94.4,18,20,7.8,2.74,1,0,0.0,75.0,15,3,11.8,23,59.0,2,10,,,,,67.5,78.6,74.8,,80.1,,59.4,,,0,0,23,0.0,152.3,0.0,0,3,0,1,4,0,0.0,231,11.6,58.3,12,12,14.2,3.12,0,0,0.0,58.3,7,3,0.0,16,41.0,0,3,,,,,66.5,58.4,71.6,,65.1,,50.5,,,0,0,16,33.3,97.6,6.3,1,3,0,0,1,0,0.0,55,4.6,0,100.0,5,5,-2.6,1.34,0,0,0.0,100.0,5,0,0.0,5,12.8,0,1,,,,,63.8,65.7,68.1,,65.4,,,,,0,0,5,,80.8,0.0,0,0,0,0,0,0,0.0,17,3.4,-6.97
Keyone Jenkins,170403,QB,FIU,1,-5.3,0,39,166,71.0,31,32,10.8,2.9,0,1,3.0,62.5,20,9,9.1,36,92.3,2,16,,,,,70.2,73.9,21.1,,78.3,,57.5,,,0,0,38,0.0,108.3,0.0,0,4,0,1,2,0,0.0,256,8.0,76.2,21,22,7.8,2.83,0,1,4.3,63.6,14,7,12.5,24,61.5,2,10,,,,,69.5,73.8,76.0,,77.1,,56.2,,,0,0,26,0.0,99.1,0.0,0,2,0,1,1,0,0.0,152,6.9,58.3,12,12,14.1,2.68,0,0,0.0,58.3,7,2,0.0,15,38.5,0,6,,,,,66.4,67.0,0.0,,70.6,,61.0,,,0,0,15,0.0,115.6,0.0,0,2,0,0,1,0,0.0,107,8.9,0,50.0,2,2,-1.0,1.27,0,0,0.0,50.0,1,0,0.0,3,7.7,0,0,,,,,62.7,60.3,66.6,,60.2,,,,,0,0,3,,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,2.01
John Mateer,158516,QB,WASH STATE,1,20.83,0,39,341,69.7,33,33,14.1,3.72,0,5,14.7,69.7,23,11,0.0,36,92.3,0,17,,,,,71.7,88.7,76.7,,81.3,,78.7,,,0,0,37,9.1,145.7,2.8,1,2,0,0,4,1,2.7,364,11.0,65.2,23,24,14.7,3.7,0,3,12.0,62.5,15,8,0.0,26,66.7,0,11,,,,,71.4,85.1,76.1,,77.6,,76.7,,,0,0,27,12.5,122.7,3.8,1,1,0,1,2,0,0.0,235,9.8,83.3,12,12,10.3,3.37,0,2,16.7,83.3,10,3,0.0,13,33.3,0,7,,,,,66.0,80.0,71.0,,76.4,,64.6,,,0,0,13,0.0,154.9,0.0,0,1,0,0,2,1,7.7,140,11.7,0,100.0,2,3,-1.5,2.1,0,0,0.0,66.7,2,0,0.0,3,7.7,0,1,,,,,62.7,60.3,66.6,,60.2,,,,,0,0,3,,72.9,0.0,0,0,0,1,0,0,0.0,11,3.7,1.88
Grayson James,145214,QB,BOSTON COL,1,-2.6,0,38,121,72.0,25,30,12.2,3.07,0,1,3.0,56.7,17,17,5.6,36,94.7,1,12,,,,,69.4,62.7,77.4,,61.3,,61.2,,,2,1,39,17.6,79.4,8.3,3,3,0,3,1,3,7.7,237,7.9,68.4,19,21,11.8,2.74,0,1,4.2,57.1,12,13,7.7,25,65.8,1,6,,,,,68.6,59.0,76.8,,57.4,,60.5,,,2,1,28,23.1,75.3,12.0,3,1,0,0,1,2,7.1,149,7.1,85.7,7,11,11.0,3.63,1,0,0.0,54.5,6,5,0.0,13,34.2,0,6,,,,,66.0,59.2,71.0,,58.0,,61.0,,,0,0,13,0.0,80.9,0.0,0,2,0,3,0,2,15.4,88,8.0,0,100.0,1,2,-3.0,2.55,1,0,0.0,50.0,1,1,0.0,2,5.3,0,0,,,,,61.8,37.3,65.5,,38.4,,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,1,50.0,0,0.0,0.9
Cole Snyder,97617,QB,E MICHIGAN,1,-10.71,0,38,160,61.5,26,27,9.5,2.77,1,0,0.0,55.6,15,10,6.3,35,92.1,1,6,,,,,35.3,33.8,21.0,,43.0,,42.5,,,0,3,35,30.0,28.5,8.6,3,5,0,0,0,3,8.6,128,4.7,66.7,27,28,9.0,2.73,1,0,0.0,60.7,17,10,5.6,35,92.1,1,7,,,,,35.3,36.6,21.0,,45.5,,43.3,,,0,3,35,30.0,47.5,8.6,3,4,0,0,1,3,8.6,151,5.4,50.0,2,2,1.0,2.67,0,0,0.0,50.0,1,0,0.0,3,7.9,0,0,,,,,62.7,48.8,66.6,,54.6,,57.3,,,0,0,3,,56.3,0.0,0,1,0,0,0,0,0.0,4,2.0,0,100.0,3,3,-1.3,2.2,0,0,0.0,100.0,3,0,0.0,3,7.9,0,1,,,,,62.7,64.1,66.6,,63.8,,,,,0,0,3,,143.8,0.0,0,0,0,0,1,0,0.0,27,9.0,-3.39
Hayden Wolff,98362,QB,W MICHIGAN,1,-4.57,0,37,347,76.0,25,27,6.8,2.87,0,0,0.0,70.4,19,8,0.0,32,86.5,0,8,,,,,69.1,46.5,22.9,,49.6,54.3,54.3,,,0,2,34,50.0,57.6,12.5,4,1,0,2,0,2,5.9,180,6.7,82.6,23,25,4.8,2.59,0,0,0.0,76.0,19,5,0.0,30,81.1,0,6,,,,,68.8,53.4,20.5,,56.7,,54.3,,,0,1,30,80.0,72.9,13.3,4,1,0,2,0,1,3.3,145,5.8,71.4,7,7,5.7,3.13,0,0,0.0,71.4,5,3,0.0,7,18.9,0,3,,,,,65.1,44.4,70.1,,45.7,54.3,,,,0,1,9,0.0,56.5,0.0,0,0,0,0,0,1,11.1,58,8.3,0,100.0,5,5,-3.8,1.58,0,0,0.0,100.0,5,0,0.0,5,13.5,0,1,,,,,63.8,65.6,68.1,,65.4,,,,,0,0,5,,85.8,0.0,0,0,0,0,0,0,0.0,23,4.6,2.49
Sawyer Robertson,146839,QB,BAYLOR,1,-8.33,0,37,118,78.9,19,22,10.2,2.64,2,2,8.3,63.6,14,5,6.7,23,62.2,1,10,,,,,69.5,84.1,76.3,,85.7,,57.6,,,0,0,25,20.0,140.2,4.3,1,0,0,1,3,0,0.0,240,10.9,82.6,23,24,6.2,2.24,0,2,7.7,75.0,18,3,5.3,25,67.6,1,12,,,,,69.6,84.8,76.5,,86.6,,57.6,,,0,0,27,33.3,148.4,4.0,1,0,0,1,3,0,0.0,255,10.6,80.0,10,12,3.0,2.06,2,0,0.0,66.7,8,2,0.0,12,32.4,0,3,,,,,66.0,61.6,71.0,,61.3,,,,,0,0,13,0.0,83.3,0.0,0,0,0,0,0,0,0.0,74,6.2,0,85.7,14,14,-1.6,1.43,0,0,0.0,85.7,12,0,0.0,14,37.8,0,5,,,,,66.4,61.9,71.4,,61.6,,,,,0,0,15,,93.2,0.0,0,0,0,0,0,0,0.0,89,6.4,-4.46
Jayden Maiava,158135,QB,USC,1,-2.0,0,37,326,68.2,22,24,13.8,3.03,0,0,0.0,58.3,14,11,6.7,26,70.3,1,9,,,,,26.0,55.4,76.2,,50.0,,67.5,,,0,1,27,9.1,93.8,3.8,1,1,0,2,2,3,11.1,188,7.8,82.6,23,25,6.1,2.51,0,0,0.0,72.0,18,8,5.3,26,70.3,1,8,,,,,26.0,56.8,76.2,,49.7,,71.5,,,0,1,27,12.5,81.3,3.8,1,0,0,2,1,3,11.1,135,5.4,70.0,10,10,12.5,3.08,0,0,0.0,70.0,7,3,0.0,11,29.7,0,5,,,,,65.6,63.3,70.4,,66.3,,57.3,,,0,0,11,0.0,151.7,0.0,0,1,0,0,2,0,0.0,124,12.4,0,100.0,11,11,-3.5,1.84,0,0,0.0,100.0,11,0,0.0,11,29.7,0,4,,,,,65.6,68.4,70.4,,68.0,,,,,0,0,11,,123.9,0.0,0,0,0,0,1,0,0.0,71,6.5,7.0
Gio Lopez,172309,QB,S ALABAMA,1,0.0,0,37,288,68.0,25,25,10.2,2.68,0,2,7.7,64.0,16,9,5.9,28,75.7,1,9,,,,,71.5,73.8,76.1,,71.4,,66.0,,,0,1,29,0.0,75.8,0.0,0,3,0,0,0,1,3.4,222,8.9,76.5,17,17,8.2,2.5,0,2,11.8,70.6,12,7,7.7,20,54.1,1,6,,,,,71.2,73.1,75.4,,70.3,,66.0,,,0,1,20,0.0,79.3,0.0,0,3,0,0,0,1,5.0,175,10.3,70.6,17,17,4.8,2.21,0,0,0.0,70.6,12,2,0.0,17,45.9,0,7,,,,,66.8,67.5,72.0,,67.1,,,,,0,0,18,0.0,87.9,0.0,0,0,0,0,0,0,0.0,110,6.5,0,88.9,9,9,-3.9,1.39,0,0,0.0,88.9,8,0,0.0,9,24.3,0,4,,,,,65.1,62.6,69.8,,62.3,,,,,0,0,9,,95.8,0.0,0,0,0,0,0,0,0.0,63,7.0,-3.82
Riley Leonard,143862,QB,NOTRE DAME,1,-31.43,0,37,258,69.2,26,28,9.6,3.09,0,2,6.3,60.7,17,10,5.6,32,86.5,1,12,,,,,70.5,55.8,76.9,,54.9,,58.4,,,1,1,36,0.0,99.1,0.0,0,4,0,1,3,1,2.8,172,6.1,76.9,26,28,7.8,3.06,0,2,6.9,71.4,20,10,0.0,31,83.8,0,9,,,,,70.3,59.8,76.7,,61.3,,55.4,,,1,1,32,0.0,100.9,0.0,0,3,0,1,2,1,3.1,204,7.3,60.0,5,5,6.6,2.15,0,0,0.0,40.0,2,0,33.3,6,16.2,1,3,,,,,65.1,51.8,69.8,,47.1,,63.2,,,0,0,9,,87.5,0.0,0,1,0,0,1,0,0.0,10,2.0,0,100.0,5,5,-2.4,1.78,0,0,0.0,100.0,5,0,0.0,5,13.5,0,0,,,,,63.8,65.6,68.1,,65.4,,,,,0,0,5,,101.7,0.0,0,0,0,0,0,0,0.0,42,8.4,-5.29
Rocco Becht,157567,QB,IOWA STATE,1,27.5,0,37,193,76.7,30,32,7.2,2.7,0,0,0.0,68.8,22,6,4.3,35,94.6,1,12,,,,,70.6,71.1,76.8,,67.5,,67.7,,,0,0,38,16.7,99.5,2.9,1,2,1,1,1,1,2.6,228,7.1,72.7,22,24,6.3,2.69,0,0,0.0,62.5,15,5,6.3,26,70.3,1,7,,,,,70.1,67.9,76.2,,61.5,,71.0,,,0,0,28,20.0,74.1,3.8,1,1,1,1,0,1,3.6,115,4.8,90.0,10,10,6.7,2.49,0,0,0.0,90.0,9,1,0.0,11,29.7,0,5,,,,,65.8,72.4,70.7,,75.5,,57.3,,,0,0,12,0.0,149.6,0.0,0,1,0,0,1,0,0.0,119,11.9,0,100.0,2,2,-5.0,1.45,0,0,0.0,100.0,2,0,0.0,2,5.4,0,0,,,,,61.8,62.9,65.5,,62.7,,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,7.11
Kevin Jennings,158272,QB,SMU,1,-26.0,0,36,287,62.5,24,25,15.5,3.1,0,2,7.4,60.0,15,10,0.0,26,72.2,0,11,,,,,69.7,67.8,76.2,,71.8,,50.7,,,0,1,28,0.0,89.1,0.0,0,1,0,1,1,1,3.6,242,9.7,82.6,23,25,6.4,2.27,1,1,3.6,76.0,19,6,0.0,26,72.2,0,10,,,,,69.7,60.9,76.2,,64.6,,50.7,,,0,1,29,0.0,97.4,0.0,0,1,0,1,1,1,3.4,212,8.5,50.0,10,10,19.1,3.28,0,1,10.0,50.0,5,4,0.0,10,27.8,0,5,,,,,65.4,79.8,70.1,,79.1,,,,,0,0,10,0.0,120.8,0.0,0,0,0,0,2,0,0.0,90,9.0,0,100.0,9,10,-3.7,1.12,1,0,0.0,90.0,9,0,0.0,10,27.8,0,4,,,,,65.6,65.8,70.4,,65.5,,,,,0,0,11,,131.3,0.0,0,0,0,0,2,0,0.0,60,6.0,0.52
