player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jordan McCloud,101058,QB,JAMES MAD,1,3.89,0,41,197,91.2,34,36,8.2,2.46,1,2,5.4,86.1,31,12,0.0,39,95.1,0,19,,,,36.3,78.2,76.2,,85.8,,,47.0,,,0,0,40,8.3,155.8,2.6,1,2,0,1,4,0,0.0,458,12.7,85.0,20,20,3.7,2.54,0,0,0.0,85.0,17,7,0.0,22,53.7,0,7,,,,27.6,54.7,74.9,,61.5,,,48.4,,,0,0,22,14.3,112.7,4.5,1,1,0,0,1,0,0.0,141,7.1,100.0,16,18,12.4,2.27,1,2,10.5,88.9,16,5,0.0,19,46.3,0,13,,,,67.1,91.8,72.4,,92.2,,,57.3,,,0,0,20,0.0,158.3,0.0,0,1,0,1,3,0,0.0,326,18.1,0,100.0,2,2,-4.5,1.45,0,0,0.0,100.0,2,0,0.0,2,4.9,0,1,,,,61.8,62.9,65.5,,62.7,,,,,,0,0,2,,85.4,0.0,0,0,0,0,0,0,0.0,9,4.5,11.06
Jeff Undercuffler,78501,QB,AKRON,1,-45.83,0,40,102,58.6,29,33,8.3,2.36,2,0,0.0,51.5,17,10,0.0,37,92.5,0,6,,,,68.9,42.5,75.4,,43.2,,,57.3,,,2,2,39,30.0,37.9,8.1,3,1,0,0,0,2,5.1,144,4.4,81.0,21,24,5.8,2.33,2,0,0.0,70.8,17,6,0.0,27,67.5,0,5,,,,68.0,65.0,74.5,,64.4,,,,,,1,0,28,50.0,83.2,11.1,3,0,0,0,0,0,0.0,127,5.3,27.3,11,12,10.1,2.28,0,0,0.0,25.0,3,4,0.0,13,32.5,0,1,,,,66.2,27.4,71.2,,27.8,,,57.3,,,1,2,14,0.0,0.0,0.0,0,1,0,0,0,2,14.3,29,2.4,0,100.0,3,3,-3.3,1.7,0,0,0.0,100.0,3,0,0.0,3,7.5,0,0,,,,62.7,64.0,66.6,,63.8,,,,,,0,0,3,,83.3,0.0,0,0,0,0,0,0,0.0,12,4.0,-2.87
Anthony Colandrea,170131,QB,VIRGINIA,1,18.69,0,40,335,75.0,24,27,11.6,2.9,1,3,10.0,63.0,17,15,5.6,34,85.0,1,11,,,,71.7,78.9,76.7,,73.0,54.5,,73.4,,,1,1,37,20.0,77.5,8.8,3,4,0,1,0,0,0.0,249,9.2,70.0,20,22,7.5,2.66,1,1,4.2,59.1,13,11,7.1,29,72.5,1,6,,,,71.6,68.8,76.2,,57.6,,,73.4,,,1,1,31,18.2,50.8,6.9,2,4,0,0,0,0,0.0,97,4.4,100.0,8,9,14.8,2.8,0,2,18.2,77.8,7,5,12.5,11,27.5,1,7,,,,66.0,86.9,71.4,,88.4,54.5,,,,,0,0,13,40.0,118.8,18.2,2,0,0,1,0,0,0.0,175,19.4,0,100.0,4,4,-2.8,1.55,0,0,0.0,75.0,3,1,25.0,6,15.0,1,2,,,,64.6,61.4,69.1,,61.2,,,,,,0,0,7,100.0,88.5,16.7,1,0,0,0,0,0,0.0,23,5.8,15.03
Hayden Wolff,98362,QB,W MICHIGAN,1,-20.59,0,40,347,68.0,25,27,10.6,2.6,1,3,10.7,63.0,17,9,0.0,30,75.0,0,11,,,,32.9,69.9,26.6,,75.1,,,52.9,,,0,1,31,11.1,116.7,3.3,1,1,0,1,3,1,3.2,263,9.7,75.0,32,34,6.2,2.25,1,3,8.8,70.6,24,11,0.0,38,95.0,0,13,,,,37.3,69.0,29.1,,73.6,,,52.9,,,0,1,38,9.1,117.4,2.6,1,1,0,1,3,1,2.6,321,9.4,50.0,2,2,22.0,3.05,0,0,0.0,50.0,1,0,0.0,2,5.0,0,1,,,,62.7,69.9,66.6,,69.5,,,,,,0,0,3,,68.8,0.0,0,0,0,0,0,0,0.0,12,6.0,0,88.9,9,9,-2.4,1.37,0,0,0.0,88.9,8,2,0.0,10,25.0,0,3,,,,65.4,65.8,70.1,,65.5,,,,,,0,0,10,0.0,99.1,0.0,0,0,0,0,0,0,0.0,70,7.8,-3.44
Chandler Fields,97286,QB,LA LAFAYET,1,9.66,0,40,207,76.5,34,36,9.6,2.92,0,3,8.1,61.1,22,9,15.4,38,95.0,4,14,,,,69.3,87.7,77.0,,89.1,,,55.5,,,0,0,39,11.1,99.5,2.6,1,1,0,2,2,0,0.0,242,6.7,71.4,21,22,9.3,2.43,0,1,4.3,59.1,13,5,13.3,23,57.5,2,7,,,,68.2,76.8,76.2,,76.7,,,59.5,,,0,0,24,20.0,74.1,4.3,1,0,0,1,0,0,0.0,120,5.5,86.7,15,16,8.9,3.49,0,2,12.5,68.8,11,4,15.4,17,42.5,2,7,,,,66.5,90.3,71.8,,91.0,,,57.3,,,0,0,17,0.0,135.4,0.0,0,1,0,1,2,0,0.0,140,8.8,0,100.0,2,2,2.0,2.2,0,0,0.0,100.0,2,0,0.0,2,5.0,0,0,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,104.2,0.0,0,0,0,0,0,0,0.0,18,9.0,3.3
Josh Hoover,127148,QB,TCU,1,0.0,0,40,305,74.2,31,31,9.1,2.24,0,2,6.3,64.5,20,13,13.0,35,87.5,3,13,,,,29.4,71.1,76.9,,70.3,,,,,,0,1,36,23.1,101.5,8.6,3,0,0,0,2,2,5.6,280,9.0,75.0,24,24,7.5,2.22,0,1,4.2,66.7,16,11,11.1,26,65.0,2,10,,,,26.3,64.5,76.1,,63.6,,,,,,0,1,26,18.2,100.5,7.7,2,0,0,0,2,2,7.7,187,7.8,75.0,12,12,8.1,1.98,0,1,7.7,66.7,8,2,11.1,14,35.0,1,3,,,,66.4,74.4,71.8,,74.1,,,,,,0,0,15,50.0,97.6,7.1,1,0,0,0,0,0,0.0,115,9.6,0,80.0,5,5,-1.4,1.4,0,0,0.0,80.0,4,0,0.0,5,12.5,0,0,,,,63.8,58.9,68.1,,58.7,,,,,,0,0,5,,85.0,0.0,0,0,0,0,0,0,0.0,22,4.4,1.79
Ta'Quan Roberson,101625,QB,UCONN,1,21.85,0,39,146,58.6,29,32,11.7,2.61,1,0,0.0,46.9,15,13,11.8,34,87.2,2,9,,,,68.5,46.7,75.9,,48.9,54.3,,51.6,,,0,1,34,0.0,51.6,0.0,0,2,0,2,0,2,5.9,180,5.6,62.5,24,27,8.4,2.26,1,0,0.0,48.1,13,10,13.3,28,71.8,2,6,,,,68.0,40.5,75.4,,41.3,,,56.3,,,0,1,28,0.0,44.2,0.0,0,1,0,2,0,2,7.1,113,4.2,70.0,10,10,13.1,3.25,0,0,0.0,70.0,7,3,0.0,11,28.2,0,4,,,,65.6,69.6,70.7,,74.5,54.3,,57.3,,,0,0,11,0.0,99.6,0.0,0,1,0,0,0,0,0.0,94,9.4,0,100.0,5,5,-1.2,2.08,0,0,0.0,100.0,5,0,0.0,5,12.8,0,1,,,,63.8,65.7,68.1,,65.4,,,,,,0,0,5,,89.2,0.0,0,0,0,0,0,0,0.0,27,5.4,5.21
Brendan Sorsby,156398,QB,INDIANA,1,12.22,0,39,190,75.9,29,31,11.6,2.26,1,2,5.4,67.7,21,7,4.5,37,94.9,1,16,,,,73.2,85.6,77.6,,85.4,,,67.1,,,0,1,43,42.9,114.2,8.1,3,3,0,1,3,1,2.3,274,8.8,68.8,16,18,8.8,2.05,1,1,5.0,61.1,11,5,0.0,21,53.8,0,6,,,,72.9,71.2,76.5,,66.8,,,67.0,,,0,1,23,40.0,78.5,9.5,2,1,0,1,1,1,4.3,130,7.2,80.0,15,15,13.3,2.53,0,1,5.3,73.3,11,3,8.3,18,46.2,1,11,,,,67.4,91.0,72.7,,91.0,,,61.7,,,0,0,22,33.3,146.9,5.6,1,2,0,0,2,0,0.0,159,10.6,0,50.0,2,2,1.5,2.4,0,0,0.0,50.0,1,1,0.0,2,5.1,0,1,,,,61.8,62.9,65.5,,62.7,,,,,,0,0,2,0.0,75.0,0.0,0,0,0,0,0,0,0.0,15,7.5,3.38
Dillon Gabriel,86272,QB,OKLAHOMA,1,11.04,0,39,261,65.6,32,33,13.7,2.86,0,1,3.0,63.6,21,8,0.0,36,92.3,0,19,,,,72.1,85.3,77.0,,77.2,,,79.4,,,0,0,36,25.0,146.8,5.6,2,1,0,1,5,1,2.8,417,12.6,64.3,14,14,8.8,2.36,0,0,0.0,57.1,8,2,11.1,16,41.0,1,7,,,,71.6,76.2,75.7,,60.3,,,79.4,,,0,0,16,50.0,89.0,6.3,1,1,0,0,0,1,6.3,132,9.4,71.4,21,22,14.9,3.02,0,1,4.5,68.2,15,6,0.0,23,59.0,0,12,,,,67.5,85.3,72.8,,84.3,,,,,,0,0,23,16.7,150.6,4.3,1,0,0,1,5,0,0.0,291,13.2,0,100.0,3,3,-0.7,1.47,0,0,0.0,66.7,2,0,33.3,3,7.7,1,0,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,6,2.0,3.8
Cade Klubnik,156253,QB,CLEMSON,1,-10.18,0,39,140,81.0,21,24,7.2,3.47,1,2,8.0,62.5,15,11,11.8,28,71.8,2,12,,,16.4,68.7,69.3,76.2,,71.9,30.7,,63.6,,,0,1,29,9.1,102.3,3.6,1,3,0,2,4,1,3.4,149,6.2,92.9,14,15,4.2,2.75,1,2,13.3,73.3,11,6,15.4,19,48.7,2,7,,,,67.7,91.3,75.4,,91.2,,,67.2,,,0,0,19,33.3,127.5,10.5,2,2,0,0,3,0,0.0,89,5.9,82.4,17,19,3.2,2.98,0,0,0.0,63.2,12,6,14.3,20,51.3,2,7,,,16.4,67.2,41.3,72.7,,47.8,30.7,,57.3,,,0,1,21,0.0,75.8,0.0,0,1,0,2,1,1,4.8,116,6.1,0,100.0,10,10,-3.8,1.34,0,0,0.0,80.0,8,1,20.0,11,28.2,2,2,,,,65.6,66.3,70.4,,66.0,,,,,,0,0,11,100.0,90.0,9.1,1,0,0,0,0,0,0.0,56,5.6,0.18
Caleb Williams,144622,QB,USC,1,-10.87,0,39,326,62.5,24,27,15.5,3.49,0,4,12.1,51.9,14,15,6.7,33,84.6,1,11,,,,22.3,83.2,20.0,,84.0,,,64.7,,,0,0,40,26.7,99.5,12.1,4,2,0,3,1,2,5.0,271,10.0,75.0,20,23,12.9,3.22,0,3,10.7,60.9,14,11,6.7,26,66.7,1,12,,,66.7,70.0,91.8,15.6,,91.9,87.9,,64.7,,,0,0,31,9.1,116.8,3.8,1,2,0,3,1,0,0.0,273,11.9,55.6,9,10,11.6,3.42,0,1,9.1,50.0,5,5,0.0,13,33.3,0,1,,,,10.5,46.5,71.7,,46.4,,,,,,0,0,15,60.0,56.3,23.1,3,0,0,1,0,2,13.3,18,1.8,0,100.0,5,6,-2.2,2.18,0,0,0.0,83.3,5,1,0.0,6,15.4,0,2,,,66.7,64.9,73.1,69.5,,63.2,87.9,,,,,0,0,6,0.0,80.6,0.0,0,0,0,1,0,0,0.0,20,3.3,-10.07
Chandler Rogers,98683,QB,N TEXAS,1,-7.26,0,39,251,65.2,23,24,15.9,3.06,0,4,15.4,50.0,12,16,20.0,32,82.1,3,8,,,,27.4,80.0,76.4,,80.6,,,61.0,,,1,1,34,31.3,93.4,15.6,5,3,0,0,2,3,8.8,226,9.4,72.2,18,18,5.6,2.47,0,0,0.0,61.1,11,12,15.4,23,59.0,2,5,,,,24.0,59.8,75.7,,53.3,,,69.2,,,0,1,23,33.3,51.9,17.4,4,1,0,0,0,2,8.7,95,5.3,66.7,12,13,20.4,3.22,0,4,26.7,53.8,7,6,12.5,16,41.0,1,4,,,,66.8,90.9,72.0,,92.4,,,51.6,,,1,0,18,16.7,133.0,6.3,1,2,0,0,2,1,5.6,145,11.2,0,85.7,7,7,-2.9,1.49,0,0,0.0,85.7,6,2,0.0,7,17.9,0,1,,,,64.6,61.0,69.1,,60.8,,,,,,0,0,7,0.0,79.2,0.0,0,0,0,0,0,0,0.0,14,2.0,5.87
AJ Padgett,163006,QB,RICE,1,-16.67,0,38,275,76.5,17,19,10.4,2.97,1,4,19.0,57.9,11,12,15.4,29,76.3,2,7,,,,17.3,63.2,75.7,,66.7,,,53.6,,,0,0,31,50.0,117.4,20.7,6,4,0,1,2,2,6.5,146,7.7,81.3,16,18,7.8,2.8,2,2,10.5,66.7,12,10,7.7,27,71.1,1,7,,,,27.6,62.4,75.4,,66.3,,,53.6,,,0,0,28,50.0,128.0,18.5,5,4,0,0,2,1,3.6,144,8.0,77.8,9,10,4.1,2.52,0,2,18.2,50.0,5,5,28.6,11,28.9,2,2,,,,16.4,62.4,70.7,,62.1,,,,,,0,0,12,20.0,59.6,9.1,1,0,0,1,0,1,8.3,38,3.8,0,87.5,8,9,-1.9,1.91,1,0,0.0,66.7,6,3,14.3,9,23.7,1,2,,,,65.1,60.3,69.8,,60.1,,,,,,0,0,9,0.0,74.3,0.0,0,0,0,0,0,0,0.0,36,4.0,-4.2
Joe Milton III,82151,QB,TENNESSEE,1,31.25,0,38,307,72.4,29,30,10.1,2.79,0,1,3.2,60.0,18,8,14.3,34,89.5,3,9,,,,70.9,56.8,16.7,,57.9,,,59.6,,,1,1,35,25.0,82.5,5.9,2,2,0,0,1,1,2.9,239,8.0,64.7,17,18,12.1,2.68,0,1,5.6,50.0,9,7,18.2,21,55.3,2,4,,,,70.3,50.1,7.5,,48.5,,,62.1,,,1,1,21,28.6,70.8,9.5,2,1,0,0,1,1,4.8,137,7.6,87.5,16,16,5.3,2.62,0,0,0.0,81.3,13,1,7.1,17,44.7,1,5,,,,66.8,69.6,72.0,,71.9,,,57.0,,,0,0,18,0.0,100.5,0.0,0,1,0,0,0,0,0.0,130,8.1,0,100.0,4,4,-1.3,1.45,0,0,0.0,100.0,4,0,0.0,4,10.5,0,0,,,,63.3,65.0,67.4,,64.8,,,,,,0,0,4,,95.8,0.0,0,0,0,0,0,0,0.0,28,7.0,0.52
Kirk Francis,173296,QB,TULSA,1,17.93,0,38,320,68.8,32,34,13.7,2.83,0,2,5.9,64.7,22,8,0.0,38,100.0,0,15,,,,34.8,86.6,76.5,,88.4,,,57.6,,,0,0,38,37.5,108.1,7.9,3,1,0,2,1,0,0.0,345,10.1,66.7,27,29,15.1,2.93,0,2,6.9,62.1,18,7,0.0,32,84.2,0,11,,,,31.4,83.4,76.2,,86.7,,,52.3,,,0,0,33,42.9,97.9,9.4,3,0,0,2,1,0,0.0,227,7.8,80.0,5,5,6.4,2.32,0,0,0.0,80.0,4,1,0.0,6,15.8,0,4,,,,64.2,78.6,68.6,,73.3,,,64.1,,,0,0,6,0.0,118.8,0.0,0,1,0,0,0,0,0.0,118,23.6,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,60.3,59.7,63.6,,60.0,,,,,,0,0,1,,0.0,,0,0,0,0,0,0,0.0,0,,15.77
Byrum Brown,156206,QB,USF,1,9.7,0,37,327,90.5,21,21,15.8,3.4,0,4,19.0,71.4,15,15,21.1,31,83.8,4,13,,,,36.0,90.1,77.6,,91.9,60.0,,61.1,,,0,1,31,33.3,109.7,16.1,5,5,0,0,1,2,6.5,279,13.3,90.9,11,11,7.4,3.53,0,1,9.1,63.6,7,9,30.0,18,48.6,3,4,,,,28.8,64.6,76.7,,63.7,,,61.1,,,0,0,18,22.2,82.8,11.1,2,5,0,0,0,2,11.1,73,6.6,86.7,15,15,16.3,2.81,0,3,20.0,73.3,11,9,15.4,19,51.4,2,11,,,,67.0,92.9,72.9,,92.8,60.0,,,,,0,1,19,44.4,109.7,21.1,4,0,0,0,1,1,5.3,243,16.2,0,80.0,5,5,-1.2,1.9,0,0,0.0,60.0,3,3,25.0,6,16.2,1,2,,,,64.2,47.1,68.6,,47.1,,,,,,0,0,6,33.3,82.9,16.7,1,0,0,0,0,1,16.7,37,7.4,9.56
Trenton Bourguet,97285,QB,ARIZONA ST,1,-55.88,0,37,110,55.0,20,22,12.6,2.49,0,1,4.3,40.9,9,8,18.2,25,67.6,2,6,,,,69.5,58.1,75.2,,56.7,57.2,,61.8,,,1,1,26,12.5,33.1,4.0,1,2,0,1,0,1,3.8,84,3.8,65.6,32,34,6.8,2.06,0,1,2.8,55.9,19,8,9.5,37,100.0,2,9,,,,70.3,58.7,76.2,,57.6,57.2,,61.8,,,1,1,39,12.5,54.7,2.7,1,2,0,1,0,1,2.6,149,4.4,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,83.3,12,12,-2.8,1.18,0,0,0.0,83.3,10,0,0.0,12,32.4,0,3,,,,66.0,60.8,71.0,,60.5,,,,,,0,0,13,,89.2,0.0,0,0,0,0,0,0,0.0,65,5.4,-4.38
John Paddock,77689,QB,ILLINOIS,1,8.73,0,37,187,71.4,35,35,13.4,2.5,0,4,10.0,65.7,23,9,8.0,36,97.3,2,19,,,,34.7,84.9,77.3,,82.8,,,63.3,,,0,1,42,11.1,135.1,2.8,1,0,0,0,4,1,2.4,502,14.3,72.0,25,25,11.8,2.46,0,3,10.7,64.0,16,7,11.1,26,70.3,2,12,,,,28.6,78.5,76.7,,76.1,,,63.3,,,0,1,30,14.3,130.4,3.8,1,0,0,0,3,1,3.3,326,13.0,72.7,11,11,15.6,2.45,0,1,7.7,72.7,8,2,0.0,11,29.7,0,7,,,,66.0,85.2,71.0,,84.4,,,,,,0,0,13,0.0,145.1,0.0,0,0,0,0,1,0,0.0,181,16.5,0,100.0,1,1,-3.0,0.9,0,0,0.0,100.0,1,0,0.0,1,2.7,0,0,,,,60.3,60.6,63.6,,60.4,,,,,,0,0,1,,87.5,0.0,0,0,0,0,0,0,0.0,5,5.0,3.41
Alan Bowman,77679,QB,OKLA STATE,1,25.76,0,37,262,57.6,33,34,8.5,2.27,0,0,0.0,47.1,16,5,15.8,34,91.9,3,12,,,,31.2,59.5,75.9,,62.0,,,51.4,,,0,3,34,0.0,29.7,0.0,0,0,0,1,0,2,5.9,205,6.0,52.4,21,22,7.4,2.23,0,0,0.0,40.9,9,4,18.2,22,59.5,2,7,,,,26.9,57.0,74.9,,60.4,,,51.4,,,0,1,22,0.0,38.1,0.0,0,0,0,1,0,1,4.5,110,5.0,73.3,15,15,8.0,2.19,0,0,0.0,66.7,10,1,9.1,15,40.5,1,6,,,,66.4,64.5,71.4,,64.2,,,,,,0,2,15,0.0,50.0,0.0,0,0,0,0,0,1,6.7,115,7.7,0,100.0,3,3,-1.3,1.57,0,0,0.0,100.0,3,0,0.0,3,8.1,0,1,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,94.4,0.0,0,0,0,0,0,0,0.0,20,6.7,2.67
Austin Reed,111760,QB,W KENTUCKY,1,11.64,0,37,346,51.7,29,30,9.6,2.88,0,0,0.0,50.0,15,7,0.0,31,83.8,0,11,,,,69.6,49.0,76.7,,40.1,,,79.3,,,0,1,35,0.0,92.1,0.0,0,1,0,1,3,1,2.9,208,6.9,58.3,24,25,8.1,2.66,0,0,0.0,52.0,13,5,7.1,26,70.3,1,9,,,,69.3,53.9,76.4,,44.1,,,79.3,,,0,1,30,0.0,97.0,0.0,0,1,0,1,3,1,3.3,172,6.9,63.6,11,11,6.2,2.75,0,0,0.0,63.6,7,2,0.0,11,29.7,0,4,,,,65.6,49.3,70.4,,49.3,,,,,,0,0,11,0.0,92.6,0.0,0,0,0,0,0,0,0.0,99,9.0,0,100.0,6,6,-2.7,1.7,0,0,0.0,83.3,5,0,16.7,6,16.2,1,2,,,,64.2,66.3,68.6,,66.1,,,,,,0,0,6,,110.4,0.0,0,0,0,0,0,0,0.0,63,10.5,2.12
Noah Fifita,158722,QB,ARIZONA,1,18.56,0,36,109,52.2,23,24,14.2,2.87,1,2,7.4,45.8,11,6,8.3,25,69.4,1,8,,,,69.7,73.8,75.9,,72.9,,,60.8,,,0,0,28,16.7,80.6,4.0,1,0,0,0,1,0,0.0,152,6.3,65.2,23,24,7.3,2.36,1,0,0.0,54.2,13,4,13.3,25,69.4,2,9,,,,69.6,57.2,75.8,,55.6,,,60.8,,,0,0,27,25.0,91.8,4.0,1,0,0,0,2,0,0.0,97,4.0,72.7,11,11,11.5,2.58,0,2,16.7,72.7,8,2,0.0,11,30.6,0,5,,,,65.8,91.8,70.7,,91.5,,,,,,0,0,12,0.0,107.0,0.0,0,0,0,0,0,0,0.0,117,10.6,0,100.0,11,11,-2.9,1.42,0,0,0.0,90.9,10,0,9.1,11,30.6,1,6,,,,65.6,68.2,70.4,,67.9,,,,,,0,0,11,,120.5,0.0,0,0,0,0,1,0,0.0,62,5.6,6.6
Spencer Rattler,97408,QB,S CAROLINA,1,24.77,0,36,289,85.7,28,29,10.3,2.56,0,2,6.9,72.4,21,6,12.5,29,80.6,3,15,,,,69.7,82.1,75.7,,81.2,,,63.4,,,1,1,30,0.0,111.1,0.0,0,0,0,0,2,1,3.3,279,9.6,81.3,16,17,9.8,2.48,0,2,11.8,64.7,11,4,15.4,17,47.2,2,6,,,,68.9,73.7,74.7,,72.3,,,63.4,,,1,1,18,0.0,90.8,0.0,0,0,0,0,1,1,5.6,162,9.5,94.7,19,19,6.3,2.23,0,0,0.0,89.5,17,2,5.6,19,52.8,1,12,,,,67.0,82.5,72.2,,81.8,,,,,,0,0,19,0.0,143.2,0.0,0,0,0,0,2,0,0.0,189,9.9,0,100.0,7,7,-1.9,1.47,0,0,0.0,100.0,7,0,0.0,7,19.4,0,3,,,,64.6,66.8,69.1,,66.5,,,,,,0,0,7,,149.1,0.0,0,0,0,0,1,0,0.0,72,10.3,0.42
Jake Retzlaff,70874,QB,BYU,1,27.14,0,36,128,39.1,23,24,14.7,4.09,0,2,7.7,33.3,8,13,11.1,32,88.9,1,7,,,,72.7,42.6,76.6,,35.5,54.3,,61.8,,,0,2,34,30.8,25.9,12.5,4,4,0,1,1,4,11.8,97,4.0,40.0,20,20,14.2,3.93,0,2,9.1,30.0,6,10,25.0,26,72.2,2,5,,,,72.6,48.0,76.2,,42.8,54.3,,61.5,,,0,1,28,40.0,25.2,15.4,4,2,0,0,0,3,10.7,91,4.6,66.7,6,7,6.8,3.38,0,0,0.0,57.1,4,3,0.0,10,27.8,0,3,,,,65.4,40.4,70.1,,36.2,,,61.0,,,0,1,10,0.0,62.2,0.0,0,2,0,1,1,1,10.0,13,1.9,0,100.0,3,3,-4.3,1.23,0,0,0.0,66.7,2,0,33.3,4,11.1,1,1,,,,63.3,61.6,67.4,,61.4,,,,,,0,0,4,,70.1,0.0,0,0,0,0,0,0,0.0,7,2.3,-2.69
Donovan Smith,73929,QB,HOUSTON,1,-37.5,0,36,182,65.4,26,27,7.5,3.36,0,1,3.4,55.6,15,13,11.8,34,94.4,2,7,,,,71.3,64.5,75.7,,59.0,,,67.1,,,0,3,36,7.7,48.9,2.9,1,6,0,1,2,1,2.8,100,3.7,73.9,23,24,6.2,3.16,0,1,3.8,62.5,15,10,11.8,31,86.1,2,7,,,,71.2,69.0,75.5,,62.7,,,69.2,,,0,2,33,10.0,64.6,3.2,1,5,0,1,2,1,3.0,100,4.2,25.0,4,4,13.0,3.54,0,0,0.0,25.0,1,3,0.0,5,13.9,0,0,,,,63.8,44.3,68.1,,47.3,,,57.3,,,0,1,5,0.0,0.0,0.0,0,1,0,0,0,0,0.0,2,0.5,0,100.0,1,1,-2.0,0.65,0,0,0.0,100.0,1,0,0.0,2,5.6,0,0,,,,61.8,58.9,65.5,,58.9,,,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,-3.67
