player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Will Rogers,124184,QB,MISS STATE,1,45,40.0,5,5,10.4,2.06,0,0,0.0,40.0,2,0,0.0,5,11.1,0,2,,,,,64.2,63.6,68.6,63.4,,,,0,0,6,,62.1,0.0,0,0,0,0,0,0,0.0,32,6.4,0,227,69.4,64.0,62.1,,76.9,39,40,6.8,2.61,0,1,2.5,72.5,29,7,3.3,40,88.9,1,14,,,,,69.0,61.6,74.8,61.2,,,,0,0,40,0.0,118.3,0.0,0,0,0,1,3,2,5.0,296,7.4,73.7,38,38,7.2,2.29,0,1,2.6,71.1,27,0,3.6,38,84.4,1,14,,,,,68.9,64.0,74.7,63.6,,,,0,0,39,,122.0,0.0,0,0,0,0,3,2,5.1,314,8.3,0,66.7,6,7,7.3,3.94,0,0,0.0,57.1,4,7,0.0,7,15.6,0,2,,,,,64.6,56.0,69.1,55.9,,,,0,0,7,0.0,62.2,0.0,0,0,0,1,0,0,0.0,14,2.0
Drake Maye,143969,QB,N CAROLINA,1,45,72.7,11,12,13.1,2.89,0,1,8.3,66.7,8,10,0.0,15,33.3,0,5,,,,,66.4,78.2,71.4,82.5,,,57.2,0,0,15,0.0,134.7,0.0,0,3,0,1,3,0,0.0,108,9.0,0,245,71.0,90.8,92.5,60.2,86.4,22,24,12.8,3.01,0,3,12.5,75.0,18,7,5.3,30,66.7,1,16,,,,,68.3,91.7,74.0,92.4,54.3,,64.2,1,0,31,0.0,108.9,0.0,0,6,0,1,0,0,0.0,255,10.6,83.3,24,24,11.3,2.5,0,3,12.5,79.2,19,0,5.0,28,62.2,1,12,,,,,68.0,90.2,73.6,91.6,54.3,,56.3,0,0,28,,124.5,0.0,0,4,0,0,1,0,0.0,253,10.5,0,77.8,9,12,17.2,3.75,0,1,8.3,58.3,7,17,0.0,17,37.8,0,9,,,,,66.8,87.4,72.0,87.9,,,65.7,1,0,18,0.0,128.5,0.0,0,5,0,2,2,0,0.0,110,9.2
Carter Bradley,77685,QB,S ALABAMA,1,45,36.4,11,13,7.2,2.99,1,0,0.0,23.1,3,8,25.0,14,31.1,1,2,,,,,66.4,40.4,71.4,40.6,,,,0,0,15,12.5,47.6,7.1,1,0,0,1,0,0,0.0,64,4.9,0,288,71.0,58.3,58.2,61.4,73.1,26,29,11.1,2.55,2,1,3.4,51.7,15,9,21.1,31,68.9,4,10,,,,,68.3,66.0,73.9,69.2,,,51.6,0,1,31,0.0,56.8,0.0,0,2,0,1,0,2,6.5,181,6.2,73.1,26,28,9.3,2.39,2,1,3.4,53.6,15,0,21.1,28,62.2,4,9,,,,,68.1,75.0,73.6,74.3,,,,0,0,29,,76.3,0.0,0,0,0,0,0,1,3.4,199,7.1,2,36.4,11,14,11.4,3.19,1,0,0.0,21.4,3,17,25.0,17,37.8,1,3,,,,,66.7,30.0,71.8,33.1,,,51.6,0,1,17,5.9,11.0,5.9,1,2,0,2,0,1,5.9,46,3.3
Aidan O'Connell,60516,QB,PURDUE,1,44,70.0,10,10,8.0,2.56,0,1,8.3,70.0,7,4,0.0,10,22.7,0,2,,,,,65.8,62.8,70.7,62.6,,,,0,0,12,0.0,84.6,0.0,0,0,0,0,0,1,8.3,58,5.8,0,273,69.4,54.9,53.2,62.5,69.0,29,30,8.2,2.66,0,0,0.0,66.7,20,7,0.0,34,77.3,0,8,,,,,68.5,51.3,74.2,49.9,,,62.5,0,2,34,28.6,49.4,5.9,2,2,0,1,0,3,8.8,141,4.7,68.8,32,32,9.2,2.33,0,1,3.0,68.8,22,0,0.0,33,75.0,0,10,,,,,68.5,59.6,74.2,57.5,,,64.2,0,2,34,,57.3,0.0,0,1,0,0,0,3,8.8,184,5.8,0,71.4,7,8,3.3,3.56,0,0,0.0,62.5,5,11,0.0,11,25.0,0,0,,,,,65.8,44.3,70.7,45.7,,,57.8,0,0,12,18.2,66.7,18.2,2,1,0,1,0,1,8.3,15,1.9
Chevan Cordeiro,75886,QB,S JOSE ST,1,44,50.0,10,11,9.3,2.64,0,0,0.0,45.5,5,7,0.0,12,27.3,0,4,,,,,20.6,50.6,71.2,50.6,,,,1,0,14,14.3,90.3,8.3,1,0,0,0,1,1,7.1,53,4.8,0,285,40.3,75.9,78.2,58.3,78.3,23,26,11.0,2.94,1,3,10.7,61.5,16,11,11.1,32,72.7,2,11,,,,,68.5,85.3,74.2,90.2,,,53.6,0,0,34,9.1,95.2,3.1,1,5,0,2,0,0,0.0,261,10.0,75.0,24,25,9.8,2.27,1,2,7.1,64.0,16,0,11.1,26,59.1,2,10,,,,,68.1,84.3,73.6,85.4,,,57.3,0,0,29,,104.3,0.0,0,1,0,0,1,0,0.0,213,8.5,0,55.6,9,12,12.3,3.71,0,1,7.7,41.7,5,18,0.0,18,40.9,0,5,,,,,23.4,56.2,72.2,58.7,,,55.8,1,0,19,11.1,71.9,11.1,2,4,0,2,0,1,5.3,101,8.4
Collin Schlee,98025,QB,KENT STATE,1,44,71.4,7,8,11.6,2.7,0,0,0.0,50.0,4,5,20.0,10,22.7,1,3,,,,,18.5,58.0,70.4,53.2,,,64.0,0,0,11,20.0,93.8,10.0,1,1,0,1,0,1,9.1,96,12.0,0,201,14.9,79.7,78.9,66.0,81.5,27,29,9.9,2.86,1,2,6.5,69.0,20,3,9.1,34,77.3,2,17,,,,,29.7,90.7,74.5,86.0,,,77.7,0,0,37,66.7,114.4,5.9,2,3,0,1,1,1,2.7,302,10.4,80.6,31,33,10.5,2.63,1,2,5.6,66.7,22,0,12.0,36,81.8,3,17,,,,,69.0,92.9,74.8,91.5,,,77.7,0,0,40,,110.0,0.0,0,3,0,1,1,0,0.0,335,10.2,0,66.7,3,4,7.3,3.71,0,0,0.0,50.0,2,8,0.0,8,18.2,0,3,,,,,3.8,27.2,69.5,25.2,,,64.0,0,0,8,37.5,95.8,37.5,3,1,0,1,0,2,25.0,63,15.8
Kyle Vantrease,55029,QB,GA SOUTHRN,1,44,58.3,12,14,7.3,2.19,0,0,0.0,50.0,7,6,0.0,15,34.1,0,5,,,,,66.4,29.8,71.4,29.9,,,,0,0,15,16.7,81.8,6.7,1,0,0,2,1,1,6.7,48,3.4,0,174,69.4,51.0,50.1,,69.0,29,29,9.2,2.32,0,2,6.5,65.5,19,8,5.0,29,65.9,1,11,,,,,68.3,65.2,73.9,64.8,,,,0,1,31,0.0,87.7,0.0,0,0,0,0,1,1,3.2,236,8.1,70.0,30,30,6.5,2.01,0,1,3.2,66.7,20,0,4.8,30,68.2,1,11,,,,,68.3,47.3,73.9,47.3,,,,0,1,31,,90.1,0.0,0,0,0,0,2,2,6.5,174,5.8,0,54.5,11,13,14.5,2.84,0,1,7.1,46.2,6,14,0.0,14,31.8,0,5,,,,,66.4,59.4,71.4,59.2,,,,0,0,15,7.1,75.8,7.1,1,0,0,2,0,0,0.0,110,8.5
Frank Harris,60586,QB,UTSA,1,43,88.9,9,9,10.1,2.67,0,1,11.1,88.9,8,5,0.0,12,27.9,0,7,,,,,65.8,91.1,70.7,90.2,,,64.2,0,0,12,40.0,118.8,16.7,2,1,0,0,0,0,0.0,136,15.1,0,331,72.1,77.1,64.0,80.0,76.0,25,27,9.0,2.32,2,1,3.4,70.4,19,6,0.0,31,72.1,0,14,,,,66.7,68.7,56.9,74.2,49.1,87.9,,68.1,0,3,33,16.7,88.7,3.2,1,3,0,0,2,2,6.1,278,10.3,80.0,30,32,9.5,1.9,2,2,5.9,75.0,24,0,0.0,32,74.4,0,16,,,,66.7,68.7,72.6,74.3,69.2,87.9,,,0,3,34,,95.8,0.0,0,0,0,0,2,2,5.9,380,11.9,0,75.0,4,4,7.5,3.92,0,0,0.0,75.0,3,11,0.0,11,25.6,0,5,,,,,65.6,61.3,70.4,45.5,,,71.6,0,0,11,27.3,100.0,27.3,3,4,0,0,0,0,0.0,34,8.5
Holton Ahlers,77651,QB,E CAROLINA,1,43,68.8,16,17,10.3,2.01,0,1,5.9,64.7,11,2,0.0,17,39.5,0,10,,,,,66.7,76.8,71.8,76.2,,,,1,0,17,0.0,140.1,0.0,0,0,0,0,2,0,0.0,183,10.8,0,156,70.2,86.8,84.2,69.3,83.3,24,24,7.5,2.13,0,2,7.7,83.3,20,5,0.0,26,60.5,0,12,,,,,68.0,85.4,73.5,82.7,,,64.3,0,0,28,20.0,155.2,3.8,1,1,0,0,4,0,0.0,282,11.8,80.6,36,36,8.7,1.93,0,3,7.9,80.6,29,0,0.0,36,83.7,0,21,,,,,68.9,90.6,74.6,90.3,,,,0,0,38,,158.1,0.0,0,0,0,0,6,0,0.0,448,12.4,0,50.0,4,5,7.8,2.87,0,0,0.0,40.0,2,7,0.0,7,16.3,0,1,,,,,64.6,49.6,69.1,41.5,,,64.3,1,0,7,14.3,49.6,14.3,1,1,0,0,0,0,0.0,17,3.4
Taulia Tagovailoa,97271,QB,MARYLAND,1,43,80.0,10,10,8.0,2.71,0,0,0.0,80.0,8,2,0.0,10,23.3,0,4,,,,,65.4,90.4,70.1,90.1,,,,0,0,10,0.0,138.8,0.0,0,0,0,0,1,0,0.0,93,9.3,0,215,70.1,81.1,82.2,57.1,82.8,29,31,7.1,2.81,1,0,0.0,77.4,24,5,0.0,33,76.7,0,12,,,,,68.5,71.3,74.2,72.4,,,57.3,0,0,34,20.0,96.3,3.0,1,1,0,1,0,0,0.0,221,7.1,85.3,34,36,7.1,2.57,1,0,0.0,80.6,29,0,0.0,36,83.7,0,14,,,,,68.8,81.6,74.5,80.8,,,,0,0,37,,108.4,0.0,0,0,0,1,1,0,0.0,281,7.8,0,60.0,5,5,8.4,3.9,0,0,0.0,60.0,3,7,0.0,7,16.3,0,2,,,,,64.6,69.0,69.1,73.5,,,57.3,0,0,7,14.3,79.6,14.3,1,1,0,0,0,0,0.0,33,6.6
Clayton Tune,77652,QB,HOUSTON,1,43,90.0,10,10,6.7,2.35,0,1,10.0,90.0,9,4,0.0,13,30.2,0,6,,,,,66.0,85.6,71.0,84.9,,,,0,0,13,50.0,137.5,15.4,2,0,0,0,2,0,0.0,75,7.5,0,182,40.4,76.1,85.0,54.1,77.8,18,22,7.8,4.06,1,1,4.5,54.5,12,11,14.3,30,69.8,2,8,,,,,28.0,63.4,73.9,77.2,,,46.1,0,0,31,0.0,72.2,0.0,0,8,0,3,0,2,6.5,130,5.9,86.4,22,22,6.1,2.85,0,1,4.5,81.8,18,0,5.3,28,65.1,1,12,,,,,27.0,80.2,73.5,86.6,,,53.8,0,0,28,,110.4,0.0,0,5,0,0,1,2,7.1,151,6.9,1,66.7,6,10,12.2,4.84,1,1,10.0,30.0,3,15,25.0,15,34.9,1,2,,,,,66.5,57.3,71.6,70.3,,,45.9,0,0,16,13.3,82.9,13.3,2,3,0,3,1,0,0.0,54,5.4
Caleb Williams,144622,QB,USC,1,43,100.0,4,6,8.0,2.78,0,0,0.0,66.7,4,4,0.0,8,18.6,0,4,,,,,65.1,83.2,69.8,79.0,,,64.1,0,0,9,25.0,130.6,12.5,1,1,0,2,1,0,0.0,48,8.0,0,326,36.7,86.9,82.4,73.3,82.8,29,31,6.8,3.09,0,1,3.1,74.2,23,13,4.2,35,81.4,1,18,,,,,29.4,80.4,74.4,79.0,,,65.1,0,1,36,0.0,112.3,0.0,0,4,0,2,2,2,5.6,300,9.7,79.2,24,24,6.9,2.35,0,1,4.2,75.0,18,0,5.3,26,60.5,1,11,,,,,67.8,73.4,73.3,72.8,,,61.7,0,1,26,,100.7,0.0,0,2,0,0,1,1,3.8,228,9.5,0,100.0,9,13,7.1,4.07,0,0,0.0,69.2,9,17,0.0,17,39.5,0,11,,,,,23.4,89.8,72.2,86.6,,,69.0,0,0,19,5.9,137.8,5.9,1,3,0,4,2,1,5.3,120,9.2
Brennan Armstrong,77696,QB,VIRGINIA,1,42,33.3,3,3,7.0,2.93,0,0,0.0,33.3,1,3,0.0,4,9.5,0,1,,,,,63.8,44.0,68.1,47.2,,,57.0,0,0,5,0.0,42.4,0.0,0,1,0,0,0,0,0.0,9,3.0,0,335,70.5,72.8,73.2,60.7,85.7,28,34,8.4,2.93,5,1,2.9,52.9,18,15,25.0,38,90.5,6,11,,,,,68.9,80.1,74.7,78.5,,,65.2,0,1,39,6.7,67.4,2.6,1,3,0,1,1,0,0.0,193,5.7,73.7,19,24,6.3,2.36,5,0,0.0,45.8,11,0,21.4,24,57.1,3,3,,,,,67.8,49.4,73.3,49.4,,,,0,0,26,,68.9,0.0,0,0,0,0,1,0,0.0,85,3.5,0,91.7,12,13,11.3,3.68,0,1,7.7,61.5,8,18,27.3,18,42.9,3,9,,,,,66.8,91.3,72.0,92.2,,,61.6,0,1,18,5.6,58.8,5.6,1,4,0,1,0,0,0.0,117,9.0
Robby Ashford,131702,QB,AUBURN,1,42,88.9,9,10,11.4,2.56,0,1,10.0,80.0,8,4,0.0,11,26.2,0,7,,,,,65.6,80.0,70.9,84.0,,,57.3,0,0,11,0.0,152.1,0.0,0,1,0,1,1,0,0.0,151,15.1,0,115,27.2,55.0,51.7,64.0,52.0,25,28,8.0,2.53,1,0,0.0,39.3,11,9,15.4,31,73.8,2,3,,,,,28.6,36.5,74.3,37.6,55.1,,57.3,1,1,33,22.2,59.5,6.5,2,1,0,1,1,3,9.1,186,6.6,67.9,28,29,7.9,2.13,1,1,3.3,58.6,17,0,10.5,29,69.0,2,8,,,,,68.2,66.1,73.7,65.7,,,,0,1,30,,99.4,0.0,0,0,0,0,2,1,3.3,277,9.6,0,33.3,6,9,14.0,3.45,0,0,0.0,22.2,2,13,0.0,13,31.0,0,2,,,,,20.6,29.1,71.9,29.3,55.1,,52.8,1,0,14,15.4,54.9,15.4,2,2,0,2,0,2,14.3,60,6.7
Chris Reynolds,60361,QB,CHARLOTTE,1,41,66.7,18,20,10.2,2.69,0,0,0.0,50.0,10,16,16.7,22,53.7,2,9,,,,,26.7,62.9,73.3,62.6,,,,0,0,26,12.5,111.0,9.1,2,0,0,2,3,1,3.8,133,6.7,0,136,35.8,67.0,66.2,,68.8,16,17,14.0,3.1,0,1,5.6,64.7,11,7,0.0,19,46.3,0,8,,,,,67.1,68.6,72.4,68.1,,,,0,1,20,28.6,103.2,10.5,2,0,0,1,1,1,5.0,214,12.6,77.8,18,18,11.1,2.37,0,1,4.8,77.8,14,0,0.0,18,43.9,0,11,,,,,67.2,79.8,72.5,79.1,,,,0,1,21,,133.6,0.0,0,0,0,0,4,1,4.8,218,12.1,0,56.3,16,19,13.0,3.27,0,0,0.0,36.8,7,23,22.2,23,56.1,2,6,,,,,26.3,52.8,73.1,52.7,,,,0,0,25,17.4,61.1,17.4,4,0,0,3,0,1,4.0,129,6.8
Cam Ward,133244,QB,WASH STATE,1,41,100.0,4,6,4.0,3.1,0,0,0.0,50.0,3,3,25.0,6,14.6,1,2,,,,,64.2,75.2,68.6,74.8,,,,0,0,6,0.0,96.5,0.0,0,0,0,2,2,0,0.0,19,3.2,0,341,71.2,68.7,66.7,64.8,75.0,32,34,11.4,2.82,1,1,2.8,70.6,24,8,0.0,35,85.4,0,14,,,,,68.8,63.8,74.5,63.4,,,,0,2,37,12.5,85.9,2.9,1,0,0,1,1,2,5.4,324,9.5,79.3,29,30,9.4,2.36,1,0,0.0,76.7,23,0,0.0,30,73.2,0,14,,,,,68.4,66.3,74.0,65.8,,,,0,1,32,,111.8,0.0,0,0,0,0,2,1,3.1,270,9.0,0,71.4,7,10,15.4,4.23,0,1,10.0,40.0,4,11,20.0,11,26.8,1,2,,,,,65.6,65.7,70.4,65.4,,,,0,1,11,9.1,59.6,9.1,1,0,0,3,1,1,9.1,73,7.3
Emory Jones,82111,QB,ARIZONA ST,1,41,90.0,10,11,9.8,2.85,0,0,0.0,72.7,8,6,11.1,16,39.0,1,8,,,,,66.7,78.5,71.8,72.5,,,70.8,1,0,17,50.0,91.9,18.8,3,2,0,0,0,0,0.0,77,7.0,0,110,70.1,72.5,68.0,70.4,71.4,21,21,8.8,2.78,0,1,4.3,71.4,15,14,0.0,25,61.0,0,5,,,,,67.9,63.5,73.4,62.4,,,62.0,0,1,27,14.3,90.6,8.0,2,2,0,0,1,2,7.4,166,7.9,90.0,20,20,7.7,2.29,0,0,0.0,85.0,17,0,5.6,21,51.2,1,7,,,,,67.5,82.6,72.8,79.7,,,64.3,0,0,23,,114.4,0.0,0,1,0,0,1,0,0.0,149,7.5,0,54.5,11,12,11.8,3.35,0,1,7.7,50.0,6,20,0.0,20,48.8,0,6,,,,,67.2,56.6,72.5,51.9,,,66.6,1,1,21,25.0,41.7,25.0,5,3,0,0,0,2,9.5,94,7.8
Kurtis Rourke,97998,QB,OHIO,1,41,40.0,5,5,11.6,2.2,0,0,0.0,40.0,2,1,0.0,5,12.2,0,2,,,,,63.8,62.7,68.1,62.5,,,,0,0,5,0.0,63.8,0.0,0,0,0,0,0,0,0.0,34,6.8,0,259,35.7,68.8,68.3,60.1,78.1,32,34,9.3,2.89,0,2,5.9,67.6,23,17,8.0,36,87.8,2,12,,,,,29.4,69.1,74.4,68.6,,,,1,0,36,11.8,113.4,5.6,2,0,0,1,2,2,5.6,288,8.5,77.3,22,23,8.0,2.4,0,1,4.3,69.6,16,0,5.9,23,56.1,1,8,,,,,67.5,70.1,72.8,69.6,,,,0,0,23,,104.6,0.0,0,0,0,1,1,1,4.3,166,7.2,0,66.7,15,16,12.1,3.33,0,1,6.3,56.3,9,18,10.0,18,43.9,1,6,,,,,22.9,63.7,72.0,63.4,,,,1,0,18,11.1,110.4,11.1,2,0,0,0,1,1,5.6,156,9.8
Sam Hartman,77618,QB,WAKE,1,40,69.2,13,14,12.8,3.14,1,0,0.0,57.1,8,9,11.1,20,50.0,1,9,,,,,67.2,71.1,72.5,70.5,,,61.6,0,0,21,44.4,122.0,20.0,4,2,0,0,2,0,0.0,110,7.9,0,339,71.9,70.0,69.7,60.8,75.0,20,20,7.2,2.69,0,1,4.5,70.0,14,6,6.7,20,50.0,1,9,,,,,67.4,66.4,72.7,65.9,,,,0,0,22,0.0,86.5,0.0,0,0,0,0,0,0,0.0,125,6.3,78.3,23,23,9.2,2.81,0,1,4.0,73.9,17,0,5.6,25,62.5,1,14,,,,,67.9,80.7,73.4,80.2,,,61.6,0,0,27,,110.1,0.0,0,2,0,0,1,0,0.0,176,7.7,0,60.0,10,11,9.8,3.08,1,0,0.0,45.5,5,15,16.7,15,37.5,1,4,,,,,66.5,50.0,71.6,50.0,,,,0,0,16,26.7,92.6,26.7,4,0,0,0,1,0,0.0,59,5.4
Grayson McCall,98002,QB,COAST CAR,1,39,40.0,10,10,9.5,2.75,0,0,0.0,40.0,4,6,0.0,13,33.3,0,3,,,,,20.6,47.6,71.2,42.8,,,64.3,0,0,14,33.3,94.2,15.4,2,1,0,0,1,1,7.1,61,6.1,0,141,24.3,70.0,69.5,62.1,83.3,24,24,10.3,2.68,0,2,7.7,79.2,19,2,5.0,26,66.7,1,11,,,,,68.0,82.8,73.5,82.3,,,61.8,0,0,28,0.0,142.0,0.0,0,2,0,0,2,0,0.0,274,11.4,72.4,29,29,10.4,2.56,0,2,6.7,69.0,20,0,4.8,31,79.5,1,11,,,,,68.4,75.9,74.0,75.2,,,61.8,0,0,32,,125.8,0.0,0,2,0,0,2,0,0.0,301,10.4,0,60.0,5,5,8.2,3.26,0,0,0.0,60.0,3,8,0.0,8,20.5,0,3,,,,,17.6,55.8,70.1,49.8,,,64.3,0,0,10,25.0,120.0,25.0,2,1,0,0,1,1,10.0,34,6.8
Doug Brumfield,128348,QB,UNLV,1,39,82.4,17,19,7.4,2.66,0,2,10.0,73.7,14,5,0.0,22,56.4,0,8,,,,,67.5,90.8,72.8,90.8,,,62.1,1,1,23,20.0,73.1,4.5,1,2,0,1,0,0,0.0,144,7.6,0,325,69.9,88.9,90.0,63.0,84.6,13,14,7.1,3.12,0,0,0.0,71.4,10,4,9.1,17,43.6,1,4,,,,,66.7,68.0,71.8,73.1,,,53.5,1,0,17,25.0,86.6,5.9,1,2,0,0,0,0,0.0,84,6.0,85.7,28,28,7.1,2.43,0,2,6.9,82.1,23,0,4.2,30,76.9,1,10,,,,,68.3,89.8,73.9,90.9,,,52.8,0,1,31,,83.0,0.0,0,2,0,0,0,0,0.0,210,7.5,0,50.0,2,5,9.0,4.29,0,0,0.0,20.0,1,9,0.0,9,23.1,0,2,,,,,65.1,64.5,69.8,61.6,,,62.8,2,0,9,22.2,42.1,22.2,2,2,0,1,0,0,0.0,18,3.6
Ryan Hilinski,71295,QB,NWESTERN,1,39,61.1,18,20,5.2,2.33,2,0,0.0,40.0,8,5,27.3,21,53.8,3,3,,,,,67.2,47.8,72.7,51.0,60.0,,56.4,0,0,21,0.0,54.0,0.0,0,1,0,0,0,1,4.8,89,4.5,0,256,70.2,52.1,49.6,62.6,47.1,17,17,11.9,2.28,0,1,5.9,41.2,7,6,12.5,18,46.2,1,4,,,,,66.7,51.9,72.0,51.9,,,,0,1,18,16.7,61.2,5.6,1,0,0,0,1,2,11.1,121,7.1,61.5,26,27,7.7,2.18,1,0,0.0,44.4,12,0,25.0,28,71.8,4,5,,,,,68.0,59.1,73.5,61.5,,,56.4,0,0,28,,76.3,0.0,0,1,0,0,1,1,3.6,161,6.0,0,33.3,9,10,10.9,2.63,1,1,10.0,30.0,3,11,0.0,11,28.2,0,2,,,,,65.4,32.8,70.7,32.9,60.0,,,0,1,11,9.1,7.9,9.1,1,0,0,0,0,2,18.2,49,4.9
Tanner Morgan,55239,QB,MINNESOTA,1,38,0.0,1,1,6.0,3.0,0,0,0.0,0.0,0,1,,2,5.3,0,0,,,,,61.8,47.7,65.5,53.9,,,57.3,0,0,2,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,0,225,31.3,53.6,56.6,48.9,67.7,31,32,10.4,3.11,0,0,0.0,56.3,18,12,14.3,36,94.7,3,10,,,,,30.0,55.1,74.5,57.7,,,51.6,0,3,37,16.7,43.4,5.6,2,2,0,1,0,3,8.1,257,8.0,72.0,25,25,9.1,2.89,0,0,0.0,60.0,15,0,16.7,25,65.8,3,8,,,,,67.8,65.7,73.3,65.3,,,,0,2,26,,55.6,0.0,0,0,0,0,0,2,7.7,221,8.8,0,42.9,7,8,14.3,3.51,0,0,0.0,37.5,3,13,0.0,13,34.2,0,2,,,,,20.3,34.4,71.0,40.1,,,48.9,0,1,13,15.4,12.5,15.4,2,3,0,1,0,1,7.7,36,4.5
E.J. Warner,156185,QB,TEMPLE,1,38,60.0,15,15,8.7,1.99,0,0,0.0,53.3,8,6,11.1,15,39.5,1,4,,,,,66.5,60.3,71.6,60.1,,,,0,2,16,0.0,53.1,0.0,0,0,0,0,0,1,6.3,166,11.1,0,306,69.4,39.9,42.0,55.6,50.0,22,22,7.9,2.39,0,1,4.5,45.5,10,5,9.1,23,60.5,1,3,,,,,67.5,31.6,72.8,32.9,,,57.3,0,1,23,0.0,36.0,0.0,0,1,0,0,0,2,8.7,79,3.6,59.3,27,27,7.8,2.1,0,1,3.7,51.9,14,0,12.5,27,71.1,2,6,,,,,67.9,48.9,73.4,48.9,,,,0,1,27,,61.8,0.0,0,0,0,0,0,2,7.4,207,7.7,1,40.0,10,10,9.2,2.54,0,0,0.0,40.0,4,11,0.0,11,28.9,0,1,,,,,65.8,36.6,70.7,38.3,,,57.3,0,2,12,0.0,11.7,0.0,0,1,0,0,0,1,8.3,38,3.8
